,CDX EM CDSI S30 5Y PRC Corp,CDX EM CDSI S31 5Y PRC Corp,CDX EM CDSI S32 5Y PRC Corp,CDX EM CDSI S33 5Y PRC Corp,CDX HY CDSI S31 5Y PRC Corp,CDX HY CDSI S32 5Y PRC Corp,CDX HY CDSI S33 5Y PRC Corp,CDX HY CDSI S34 5Y PRC Corp
2019-12-27,1.0,1.0,1.0,,0.96,0.98,0.99,
2019-12-30,1.0,1.0,1.0,,0.96,0.98,0.99,
2019-12-31,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-01,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-02,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-03,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-06,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-07,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-08,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-09,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-10,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-13,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-14,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-15,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-16,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-17,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-20,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-21,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-22,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-23,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-24,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-27,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-28,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-29,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-30,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-01-31,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-03,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-04,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-05,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-06,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-07,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-10,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-11,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-12,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-13,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-14,1.0,1.0,1.0,,0.96,0.98,0.99,
2020-02-17,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-18,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-19,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-20,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-21,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-24,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-25,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-26,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-27,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-02-28,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-02,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-03,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-04,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-05,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-06,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-09,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-10,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-11,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-12,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-13,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-16,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-17,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-18,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-19,1.0,1.0,1.0,,0.95,0.97,0.98,
2020-03-20,1.0,1.0,1.0,1.0,0.95,0.97,0.98,
2020-03-23,0.97,1.0,0.98,1.0,0.95,0.97,0.98,
2020-03-24,0.97,1.0,0.98,1.0,0.95,0.97,0.98,
2020-03-25,0.97,1.0,0.98,1.0,0.95,0.97,0.98,
2020-03-26,0.97,1.0,0.98,1.0,0.95,0.97,0.98,
2020-03-27,0.97,1.0,0.98,1.0,0.95,0.97,0.98,1.0
2020-03-30,0.97,1.0,0.98,1.0,0.95,0.97,0.98,1.0
2020-03-31,0.97,1.0,0.98,1.0,0.95,0.97,0.98,1.0
2020-04-01,0.97,1.0,0.98,1.0,0.95,0.97,0.98,1.0
2020-04-02,0.97,1.0,0.98,1.0,0.95,0.97,0.98,1.0
2020-04-03,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-06,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-07,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-08,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-09,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-10,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-13,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-14,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-15,0.97,1.0,0.98,1.0,0.94,0.96,0.97,0.99
2020-04-16,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-17,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-20,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-21,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-22,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-23,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-24,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-27,0.97,1.0,0.98,1.0,0.93,0.95,0.96,0.99
2020-04-28,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-04-29,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-04-30,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-05-01,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-05-04,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-05-05,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-05-06,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-05-07,0.97,1.0,0.98,1.0,0.92,0.94,0.95,0.98
2020-05-08,0.97,1.0,0.98,1.0,0.91,0.93,0.94,0.97
2020-05-11,0.97,1.0,0.98,1.0,0.91,0.93,0.94,0.97
2020-05-12,0.97,1.0,0.98,1.0,0.91,0.93,0.94,0.97
2020-05-13,0.97,1.0,0.98,1.0,0.91,0.93,0.94,0.97
2020-05-14,0.97,1.0,0.98,1.0,0.91,0.93,0.94,0.97
2020-05-15,0.97,1.0,0.98,1.0,0.91,0.93,0.94,0.97
2020-05-18,0.97,1.0,0.98,1.0,0.91,0.93,0.94,0.97
2020-05-19,0.97,1.0,0.98,1.0,0.9,0.92,0.93,0.96
2020-05-20,0.97,1.0,0.98,1.0,0.9,0.92,0.93,0.96
2020-05-21,0.97,1.0,0.98,1.0,0.9,0.92,0.93,0.96
2020-05-22,0.97,1.0,0.98,1.0,0.9,0.92,0.93,0.96
2020-05-25,0.97,1.0,0.98,1.0,0.9,0.92,0.93,0.96
2020-05-26,0.97,1.0,0.98,1.0,0.9,0.92,0.93,0.96
2020-05-27,0.97,1.0,0.98,1.0,0.89,0.91,0.92,0.95
2020-05-28,0.97,1.0,0.98,1.0,0.89,0.91,0.92,0.95
2020-05-29,0.97,1.0,0.98,1.0,0.89,0.91,0.92,0.95
2020-06-01,0.97,1.0,0.98,1.0,0.89,0.91,0.92,0.95
2020-06-02,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-03,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-04,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-05,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-08,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-09,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-10,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-11,0.94,0.94,0.93,0.95,0.89,0.91,0.92,0.95
2020-06-12,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-15,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-16,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-17,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-18,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-19,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-22,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-23,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-24,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-25,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-26,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-29,0.94,0.94,0.93,0.95,0.88,0.9,0.91,0.94
2020-06-30,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-01,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-02,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-03,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-06,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-07,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-08,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-09,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-10,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-13,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-14,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-15,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-16,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
2020-07-17,0.94,0.94,0.93,0.95,0.87,0.89,0.9,0.93
